id,disturbanc,X_32636,Y_32636,mag,dur,shape,area,inter,disturbance_code
367,wildfire,314294.4974,5666984.358,589,1,13.73948,3055.05005,0.02647,3
368,wildfire,312938.0994,5667253.714,526,1,13.73948,3055.05005,0.03235,3
369,wildfire,311499.9328,5668335.947,539,1,13.73948,3055.05005,0.00434,3
370,wildfire,310715.9155,5670202.196,366,1,13.73948,3055.05005,0.0358,3
371,cut,284922.7099,5683891.234,266,1,2.28426,3.87,0.14075,2
372,cut,286134.8102,5683126.456,361,1,3.56305,11.61,0.11971,2
373,cut,287827.9027,5682087.513,449,1,2.32,3.51,0.17518,2
374,cut,289367.0776,5681135.148,473,1,1.94444,2.61,0.22549,2
375,cut,289410.3669,5682861.91,441,1,2.38356,3.33,0.13028,2
376,cut,288712.9283,5683477.58,379,1,2.03704,2.61,0.14027,2
377,cut,288780.2672,5684256.788,515,1,1.99085,4.77,0.12193,2
378,cut,286678.3314,5682794.571,549,1,3.56305,11.61,0.0579,2
379,cut,289441.6314,5690391.843,369,1,2.17391,2.97,0.02803,2
380,cut,289177.0857,5689942.115,424,2,1.57895,0.9,0.01686,2
381,cut,291127.509,5690348.554,291,1,3.0315,14.49,0.03807,2
382,cut,291668.6252,5690322.099,649,1,3.0315,14.49,0.05125,2
384,cut,289297.3338,5691707.357,279,1,2.49467,5.49,0.01344,2
385,cut,289320.1809,5692172.716,251,1,2.49467,5.49,0.02904,2
386,cut,281542.5374,5693678.222,241,1,2.66385,5.58,0.04145,2
387,cut,282052.3891,5693773.218,275,1,2.66385,5.58,0.04421,2
388,cut,276136.1853,5691578.691,243,1,4.14141,8.82,0.01465,2
389,cut,276410.3508,5691698.939,253,1,4.14141,8.82,0.02201,2
390,cut,276786.7272,5692000.762,351,1,4.14141,8.82,0.0208,2
391,cut,276887.7355,5692108.985,377,1,4.14141,8.82,0.02208,2
392,cut,277059.6902,5692256.89,260,1,4.14141,8.82,0.0238,2
393,cut,268672.3891,5692327.836,455,1,3.03318,9.99,0.01438,2
393,cut,269136.5466,5692348.279,484,1,3.03318,9.99,0.014,2
394,cut,269546.5924,5692362.708,533,1,3.03318,9.99,0.01507,2
395,cut,269799.1133,5692389.163,351,1,1.22449,0.54,0.01652,2
396,cut,298843.8261,5668569.228,595,2,1.91898,5.49,0.14189,2
397,cut,300243.5133,5668545.178,505,2,1.3986,4.59,0.06543,2
398,cut,301537.3823,5668545.178,362,1,2.28682,14.94,0.09947,2
399,cut,302239.6309,5668535.558,403,1,2.28682,14.94,0.0993,2
400,cut,291778.0509,5671358.982,375,1,2.80675,10.62,0.48028,2
401,cut,291715.522,5670493.196,451,1,2.80675,10.62,0.30843,2
402,cut,291705.9021,5670226.246,495,1,2.80675,10.62,0.24401,2
403,wildfire,309864.5594,5701796.168,357,2,3.08108,85.5,0.01007,3
404,wildfire,310169.9894,5702326.461,879,1,3.08108,85.5,0.01076,3
405,wildfire,310691.8659,5701992.172,775,1,3.08108,85.5,0.00662,3
406,wildfire,310077.3984,5701776.928,612,2,3.08108,85.5,0.00963,3
